word,frequency
use,344
learning,338
skill,312
text,300
information,196
major,186
words,180
minor,169
evidence,165
number,132
including,131
using,130
ideas,125
two,125
support,116
topic,110
word,108
determine,106
meaning,106
read,106
writing,104
analyze,98
energy,98
texts,98
develop,94
numbers,92
data,90
describe,90
phrases,90
provide,87
events,86
claims,83
details,81
write,80
system,79
solve,77
appropriate,76
relationships,70
understand,70
understanding,69
explain,68
properties,68
specific,67
based,63
problems,63
relevant,63
equations,62
model,61
apply,60
demonstrate,59
one,59
structure,59
reasoning,58
whole,58
time,57
reading,56
different,55
end,55
interpret,55
clarify,53
compare,53
complex,52
context,52
objects,52
problem,52
purpose,52
range,52
identify,51
sources,51
probability,50
make,49
earth,48
key,48
language,48
presented,48
analysis,47
grade,47
multiple,47
find,46
line,46
points,46
reasons,46
represent,46
produce,45
rational,45
construct,44
evaluate,44
form,44
functions,44
operations,44
recognize,44
relationship,44
standard,44
questions,43
unit,43
conventions,42
research,42
experiences,41
interact,41
needed,41
concepts,40
design,40
quantities,40
explanation,39
grades,39
knowledge,39
style,39
characters,38
create,38
development,38
english,38
materials,38
process,38
terms,38
add,37
earths,37
fractions,36
meanings,36
addition,35
answer,35
organization,35
patterns,35
point,35
technical,35
digital,34
expressions,34
others,34
place,34
command,33
common,33
complexity,33
new,33
strategies,33
argument,32
chemical,32
comprehend,32
draw,32
event,32
function,32
latin,32
mathematical,32
story,32
triangles,32
view,32
within,32
area,31
matter,31
object,31
scientific,31
simple,31
speaking,31
used,31
definitions,30
diverse,30
linear,30
precise,30
print,30
question,30
clear,29
clearly,29
proficiently,29
right,29
subtraction,29
band,28
discussions,28
facts,28
formal,28
fraction,28
introduce,28
involving,28
natural,28
particular,28
real,28
reflection,28
solut,28
solutions,28
stories,28
topics,28
ask,27
human,27
possible,27
unknown,27
value,27
conduct,26
distinguish,26
european,26
french,26
geographic,26
geometric,26
german,26
health,26
history,26
italian,26
japanese,26
journalist,26
lengths,26
organisms,26
section,26
authors,25
convey,25
domainspecific,25
explicitly,25
figures,25
follows,25
gather,25
know,25
measurement,25
related,25
adults,24
angles,24
audience,24
author,24
comprehension,24
concluding,24
contrast,24
ecosystem,24
frames,24
general,24
graph,24
inferences,24
investigation,24
literary,24
multiplication,24
order,24
shapes,24
single,24
statement,24
equation,23
include,23
maintain,23
opinion,23
organize,23
parts,23
sentences,23
sequence,23
subtract,23
tasks,23
content,22
