Science - NGSS,1,17150,1-PS4,Waves and their Applications in Technologies for Information Transfer,waves   applications  technologies  information transf,waves applications technologies information transf,,,,,,
Science - NGSS,1,17151,1-LS1,From Molecules to Organisms: Structures and Processes, molecules  organisms structures  process,molecules organisms structures process,,,,,,
Science - NGSS,1,17152,1-LS3,Heredity: Inheritance and Variation of Traits,heredity inheritance  variation  trait,heredity inheritance variation trait,,,,,,
Science - NGSS,1,17153,1-ESS1,Earth's Place in the Universe,earths place   univers,earths place univers,,,,,,
Science - NGSS,1,17216,1-PS4-1,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.,plan  conduct investigations  provide evidence  vibrating materials can make sound   sound can make materials vibrate,plan conduct  provide evidence  material can make sound sound can make material vibrate,,,,,,
Science - NGSS,1,17217,1-PS4-2,Make observations to construct an evidence-based account that objects can be seen only when illuminated.,make observations  construct  evidencebased account  objects can  seen   illuminated,make observations construct evidencebased account objects can  illuminated,,,,,,
Science - NGSS,1,17218,1-PS4-3,Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.,plan  conduct  investigation  determine  effect  placing objects made  different materials   path   beam  light,plan conduct investigation determine effect  objects made different material path beam light,,,,,,
Science - NGSS,1,17219,1-PS4-4,Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.,use tools  materials  design  build  device  uses light  sound  solve  problem  communicating   distance, tools material design build device  light sound solve problem communicating distance,,,,,,
Science - NGSS,1,17220,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.",use materials  design  solution   human problem  mimicking  plants  animals use  external parts  help  survive grow  meet  needs, material design solution human problem mimicking plants animals  external parts  survive  meet needs,,,,,,
Science - NGSS,1,17221,1-LS1-2,Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.,read texts  use media  determine patterns  behavior  parents  offspring  help offspring survive,read texts  media determine pattern behavior parents offspring  offspring survive,,,,,,
Science - NGSS,1,17222,1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.",make observations  construct  evidencebased account  young plants  animals  like   exactly like  parents,make observations construct evidencebased account  plants animals like  like parents,,,,,,
Science - NGSS,1,17223,1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted.",use observations   sun moon  stars  describe patterns  can  predicted, observations sun moon stars describe pattern can predicted,,,,,,
Science - NGSS,1,17224,1-ESS1-2,Make observations at different times of year to relate the amount of daylight to the time of year.,make observations  different times  year  relate  amount  daylight   time  year,make observations different   relate  daylight time ,,,,,,
Science - NGSS,1,17430,PS4.A,Wave Properties,wave properti,wave properti,,,,,,
Science - NGSS,1,17431,PS4.B,Electromagnetic Radiation,electromagnetic radi,electromagnetic radi,,,,,,
Science - NGSS,1,17432,PS4.B,Electromagnetic Radiation,electromagnetic radi,electromagnetic radi,,,,,,
Science - NGSS,1,17433,PS4.C,Information Technologies and Instrumentation,information technologies  instrument,information technologies instrument,,,,,,
Science - NGSS,1,17434,LS1.A,Structure and Function,structure  funct,structure funct,,,,,,
Science - NGSS,1,17435,LS1.D,Information Processing,information process,information process,,,,,,
Science - NGSS,1,17436,LS1.B,Growth and Development of Organisms,growth  development  organ,growth development organ,,,,,,
Science - NGSS,1,17437,LS3.A,Inheritance of Traits,inheritance  trait,inheritance trait,,,,,,
Science - NGSS,1,17438,LS3.B,Variation of Traits,variation  trait,variation trait,,,,,,
Science - NGSS,1,17439,ESS1.A,The Universe and its Stars, universe   star,universe star,,,,,,
Science - NGSS,1,17440,ESS1.B,Earth and the Solar System,earth   solar system,earth solar system,,,,,,
Science - NGSS,2,17154,2-PS1,Matter and its Interactions,matter   interact,matter interact,,,,,,
Science - NGSS,2,17155,2-LS2,"Ecosystems: Interactions, Energy, and Dynamics",ecosystems interactions energy  dynam,ecosystems  energy dynam,,,,,,
Science - NGSS,2,17156,2-LS4,Biological Evolution: Unity and Diversity,biological evolution unity  divers,biological evolution unity ,,,,,,
Science - NGSS,2,17157,2-ESS1,Earth's Place in the Universe,earths place   univers,earths place univers,,,,,,
Science - NGSS,2,17158,2-ESS2,Earth's Systems,earths system,earths system,,,,,,
Science - NGSS,2,17159,K-2-ETS1,Engineering Design,engineering design,engineering design,,,,,,
Science - NGSS,2,17225,2-PS1-1,Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.,plan  conduct  investigation  describe  classify different kinds  materials   observable properties,plan conduct investigation describe classify different kinds material observable property,,,,,,
Science - NGSS,2,17226,2-PS1-2,Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.,analyze data obtained  testing different materials  determine  materials   properties   best suited   intended purpose,analyze data obtained testing different material determine material property   inted purpose,,,,,,
Science - NGSS,2,17227,2-PS1-3,Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.,make observations  construct  evidencebased account    object made   small set  pieces can  disassembled  made   new object,make observations construct evidencebased account object made  set pieces can disassembled made new object,,,,,,
Science - NGSS,2,17228,2-PS1-4,Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.,construct  argument  evidence   changes caused  heating  cooling can  reversed   ,construct argument evidence changes  heating cooling can ,,,,,,
Science - NGSS,2,17229,2-LS2-1,Plan and conduct an investigation to determine if plants need sunlight and water to grow.,plan  conduct  investigation  determine  plants need sunlight  water  grow,plan conduct investigation determine plants  sunlight water ,,,,,,
Science - NGSS,2,17230,2-LS2-2,Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.,develop  simple model  mimics  function   animal  dispersing seeds  pollinating plants,develop  model mimics function animal dispersing seeds pollinating plants,,,,,,
Science - NGSS,2,17231,2-LS4-1,Make observations of plants and animals to compare the diversity of life in different habitats.,make observations  plants  animals  compare  diversity  life  different habitats,make observations plants animals compare diversity life different habitats,,,,,,
Science - NGSS,2,17232,2-ESS1-1,Use information from several sources to provide evidence that Earth events can occur quickly or slowly.,use information  several sources  provide evidence  earth events can occur quickly  slowly, information  source provide evidence earth events can  quickly slow,,,,,,
Science - NGSS,2,17233,2-ESS2-1,Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.,compare multiple solutions designed  slow  prevent wind  water  changing  shape   land,compare multiple solutions designed slow prevent wind water changing shape land,,,,,,
Science - NGSS,2,17234,2-ESS2-2,Develop a model to represent the shapes and kinds of land and bodies of water in an area.,develop  model  represent  shapes  kinds  land  bodies  water   area,develop model  shapes kinds land  water area,,,,,,
Science - NGSS,2,17235,2-ESS2-3,Obtain information to identify where water is found on Earth and that it can be solid or liquid.,obtain information  identify  water  found  earth    can  solid  liquid, information identify water found earth can solid liquid,,,,,,
Science - NGSS,2,17236,K-2-ETS1-1,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool.",ask questions make observations  gather information   situation people want  change  define  simple problem  can  solved   development   new  improved object  tool,ask question make observations gather information situation people  change   problem can  development new improved object tool,,,,,,
Science - NGSS,2,17237,K-2-ETS1-2,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem.",develop  simple sketch drawing  physical model  illustrate   shape   object helps  function  needed  solve  given problem,develop  sketch drawing physical model illustrate shape object  function  solve given problem,,,,,,
Science - NGSS,2,17238,K-2-ETS1-3,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.,analyze data  tests  two objects designed  solve   problem  compare  strengths  weaknesses    performs,analyze data test  objects designed solve problem compare strengths  ,,,,,,
Science - NGSS,2,17441,PS1.A,Structure and Properties of Matter,structure  properties  matt,structure property ,,,,,,
Science - NGSS,2,17442,PS1.A,Structure and Properties of Matter,structure  properties  matt,structure property ,,,,,,
Science - NGSS,2,17443,PS1.A,Structure and Properties of Matter,structure  properties  matt,structure property ,,,,,,
Science - NGSS,2,17444,PS1.B,Chemical Reactions,chemical react,chemical react,,,,,,
Science - NGSS,2,17445,LS2.A,Interdependent Relationships in Ecosystems,interdependent relationships  ecosystem,interdepent relationship ecosystem,,,,,,
Science - NGSS,2,17446,LS2.A,Interdependent Relationships in Ecosystems,interdependent relationships  ecosystem,interdepent relationship ecosystem,,,,,,
Science - NGSS,2,17447,ETS1.B,Developing Possible Solutions,developing possible solut,developing possible solut,,,,,,
Science - NGSS,2,17448,LS4.D,Biodiversity and Humans,biodiversity  human,biodiversity human,,,,,,
Science - NGSS,2,17449,ESS1.C,The History of Planet Earth, history  planet earth,history planet earth,,,,,,
Science - NGSS,2,17450,ESS2.A,Earth Materials and Systems,earth materials  system,earth material system,,,,,,
Science - NGSS,2,17451,ETS1.C,Optimizing the Design Solution,optimizing  design solut,optimizing design solut,,,,,,
Science - NGSS,2,17452,ESS2.B,Plate Tectonics and Large-Scale System Interactions,plate tectonics  largescale system interact,plate tectonics largescale system interact,,,,,,
Science - NGSS,2,17453,ESS2.C,The Roles of Water in Earth's Surface Processes, roles  water  earths surface process, water earths surface process,,,,,,
Science - NGSS,2,17454,ETS1.A,Defining and Delimiting Engineering Problems,defining  delimiting engineering problem,defining  engineering problem,,,,,,
Science - NGSS,2,17455,ETS1.B,Developing Possible Solutions,developing possible solut,developing possible solut,,,,,,
Science - NGSS,2,17456,ETS1.C,Optimizing the Design Solution,optimizing  design solut,optimizing design solut,,,,,,
Science - NGSS,3,17160,3-PS2,Motion and Stability: Forces and Interactions,motion  stability forces  interact,motion stability force interact,,,,,,
