MIF G5C1 Assesment,544,544,Math,"problems to practice the place value system, use rounding, and estimate expressions with rounding",place value  rounding  patterns,place value  rounding  patterns
7.11 Analyzing and Comparing Data-QUIZ,4391,4391,Math,practice statistics problems,dot plot  data  sets,dot plot  data  sets
7.3 Rational Numbers - TEST,6109,6109,Math,problems the number system and fractions,rational numbers  fractions expressions  word problems,rational numbers  fractions expressions  word problems
Q- Markup and Commission word problems,39,39,Math,word problems about markup and commission,word problems  markup  commision,word problems  markup  commision
7.NS.A.1b,192,192,Math,distance and additive inverse(2 numbers that have a sum of 0) problems,distance  opposites,distance  opposites
Q-7 RP.A.a,155,155,Math,Questions about ratios and proportions,ratios proportions,ratios proportions
Q-7 RP.A.a Part 2,164,164,Math,"Questions about ratios, proportions, rates, ""work"" word problems",ratios proportions rates,ratios proportions rates
6 MIF2-Post,1058,1058,Math,"Questions about positive and negative numbers, comparing negative numbers",compare  negative  number,compare  negative  number
7.The Number System,3486,3486,Math,word problems to practice the 4 operations,word problems  operations,word problems  operations
Sw1,563,563,Math,Simplifiying and evaluating expressions,simplify evaluate expresssions,simplify evaluate expresssions
Inequalities-TEST,6150,6150,Math,Questions about inequalities,inequalities,inequalities
Q-Understanding Probablility,87,87,Math,Questions about what the value of probability means,probability,probability
Sample,1412,1412,Math,Only one question about comparing the value of fractions,fractions  compare,fractions  compare
Bell Work January 7,2981,2981,Math,"A Word problem involving setting up an equation, and solving",word problem  equation,word problem  equation
"Circumference, Area, and Volume-TEST",6149,6149,Math,"Calculating the Area, Circumerence and Volume of geometrical figures",area circumference volume geometry,area circumference volume geometry
Q-7.G.A.1,24,24,Math,Using scale drawings to calculate actual values,scale,scale
R-7.G B.4,31,31,Math,Questions about circle geometry,radius circumference  area,radius circumference  area
R-7.G B.4 Part 4,49,49,Math,"Questions about circle geometry, angle measures and scales",radius circle  volume  angle  scale,radius circle  volume  angle  scale
R-combining like terms with distributions,30,30,Math,Simplifiying expressions with like terms,expression  like terms  variables,expression  like terms  variables
Q-7.SP.C.8,293,293,Math,Word problems about probablility,word problems  probablility,word problems  probablility
7.NS.A.1,188,188,Math,Adding and subtracting negative integers and fractions,adding  subtracting  negative,adding  subtracting  negative
R-7.G.B.4 Part2,45,45,Math,Problems about circle geometry,circle  radius  circumference  area,circle  radius  circumference  area
R-7.GB.5 - Part2,54,54,Math,Calculating angle measures in figures,angle  figure,angle  figure
R-7.GB.5 - Part3,88,88,Math,Solve for an unknown angle in a figure,angle  figure,angle  figure
R-7.GB.5 - Part4,90,90,Math,Solve for an unknown angle in a figure,angle  figure,angle  figure
7.NS.A.1a,191,191,Math,Calculating distance between two rational numbers,distance  numbers,distance  numbers
Bell work January 5th,2908,2908,Math,Looking for a proportional relationship,constant of proportionality  proportions,constant of proportionality  proportions
January 6th Bellwork,2955,2955,Math,Using unit rates to solve problems,unit rate,unit rate
